"","AVERAGE","GSM15972","GSM15973","GSM15974","GSM15975"
"AATF",0.0124950970691895,0.0147441577282958,0.0129449092010107,0.00988618670462609,0.0124051346428252
"ABL1",0.0124950970691895,0.0147441577282958,0.0129449092010107,0.00988618670462609,0.0124051346428252
"AES",0.0124950970691895,0.0147441577282958,0.0129449092010107,0.00988618670462609,0.0124051346428252
"AHR",0.0124950970691895,0.0147441577282958,0.0129449092010107,0.00988618670462609,0.0124051346428252
"AIP",0.0124950970691895,0.0147441577282958,0.0129449092010107,0.00988618670462609,0.0124051346428252
"AIRE",0.0124950970691895,0.0147441577282958,0.0129449092010107,0.00988618670462609,0.0124051346428252
"ANKRD1",0.0124950970691895,0.0147441577282958,0.0129449092010107,0.00988618670462609,0.0124051346428252
"APBB1",0.0124950970691895,0.0147441577282958,0.0129449092010107,0.00988618670462609,0.0124051346428252
"APC",0.0124950970691895,0.0147441577282958,0.0129449092010107,0.00988618670462609,0.0124051346428252
"APEX1",0.0124950970691895,0.0147441577282958,0.0129449092010107,0.00988618670462609,0.0124051346428252
"AR",0.0124950970691895,0.0147441577282958,0.0129449092010107,0.00988618670462609,0.0124051346428252
"ARID1A",0.0124950970691895,0.0147441577282958,0.0129449092010107,0.00988618670462609,0.0124051346428252
"ARID1B",0.0124950970691895,0.0147441577282958,0.0129449092010107,0.00988618670462609,0.0124051346428252
"ARID3A",0.0124950970691895,0.0147441577282958,0.0129449092010107,0.00988618670462609,0.0124051346428252
"ARNT",0.0124950970691895,0.0147441577282958,0.0129449092010107,0.00988618670462609,0.0124051346428252
"ARNTL",0.0124950970691895,0.0147441577282958,0.0129449092010107,0.00988618670462609,0.0124051346428252
"ARNTL2",0.0124950970691895,0.0147441577282958,0.0129449092010107,0.00988618670462609,0.0124051346428252
"ARX",0.0124950970691895,0.0147441577282958,0.0129449092010107,0.00988618670462609,0.0124051346428252
"ASCL1",0.0124950970691895,0.0147441577282958,0.0129449092010107,0.00988618670462609,0.0124051346428252
